Hour,Minute,Second,millisecond,Pump,Action
14,4,19,398,Pump 1,"Set Diameter 29.2, response: :"
14,4,19,499,Pump 1,"Set Infuse Rate 3 mL/min, response: :"
14,4,19,599,Pump 2,"Set Diameter 29.2, response: :"
14,4,19,700,Pump 2,"Set Infuse Rate 3 mL/min, response: :"
14,4,19,700,Pump 1,Run
14,4,19,802,Pump 1,Pump 1 Run Response: >
14,4,20,24,Pump 1,Stop
14,4,20,24,Pump 2,Run
14,4,20,126,Pump 1,Pump 1 Stop Response: :
14,4,20,126,Pump 2,Pump 2 Run Response: >
14,4,21,609,Pump 2,Stop
14,4,21,610,Pump 1,Run
14,4,21,701,Pump 2,Pump 2 Stop Response: :
14,4,21,701,Pump 1,Pump 1 Run Response: >
14,4,21,923,Pump 1,Stop
14,4,21,924,Pump 2,Run
14,4,22,26,Pump 1,Pump 1 Stop Response: :
14,4,22,26,Pump 2,Pump 2 Run Response: >
14,4,23,507,Pump 2,Stop
14,4,23,507,Pump 1,Run
14,4,23,608,Pump 2,Pump 2 Stop Response: :
14,4,23,608,Pump 1,Pump 1 Run Response: >
14,4,23,820,Pump 1,Stop
14,4,23,821,Pump 2,Run
14,4,23,922,Pump 1,Pump 1 Stop Response: :
14,4,23,922,Pump 2,Pump 2 Run Response: >
14,4,25,406,Pump 2,Stop
14,4,25,407,Pump 1,Run
14,4,25,508,Pump 2,Pump 2 Stop Response: :
14,4,25,509,Pump 1,Pump 1 Run Response: >
14,4,25,721,Pump 1,Stop
14,4,25,722,Pump 2,Run
14,4,25,824,Pump 1,Pump 1 Stop Response: :
14,4,25,825,Pump 2,Pump 2 Run Response: >
14,4,27,310,Pump 2,Stop
14,4,27,311,Pump 1,Run
14,4,27,406,Pump 2,Pump 2 Stop Response: :
14,4,27,406,Pump 1,Pump 1 Run Response: >
14,4,27,619,Pump 1,Stop
14,4,27,620,Pump 2,Run
14,4,27,725,Pump 1,Pump 1 Stop Response: :
14,4,27,725,Pump 2,Pump 2 Run Response: >
14,4,29,211,Pump 2,Stop
14,4,29,212,Pump 1,Run
14,4,29,304,Pump 2,Pump 2 Stop Response: :
14,4,29,304,Pump 1,Pump 1 Run Response: >
14,4,29,527,Pump 1,Stop
14,4,29,528,Pump 2,Run
14,4,29,620,Pump 1,Pump 1 Stop Response: :
14,4,29,621,Pump 2,Pump 2 Run Response: >
14,4,31,107,Pump 2,Stop
14,4,31,108,Pump 1,Run
14,4,31,210,Pump 2,Pump 2 Stop Response: :
14,4,31,210,Pump 1,Pump 1 Run Response: >
14,4,31,423,Pump 1,Stop
14,4,31,424,Pump 2,Run
14,4,31,525,Pump 1,Pump 1 Stop Response: :
14,4,31,526,Pump 2,Pump 2 Run Response: >
14,4,33,11,Pump 2,Stop
14,4,33,12,Pump 1,Run
14,4,33,104,Pump 2,Pump 2 Stop Response: :
14,4,33,104,Pump 1,Pump 1 Run Response: >
14,4,33,327,Pump 1,Stop
14,4,33,328,Pump 2,Run
14,4,33,421,Pump 1,Pump 1 Stop Response: :
14,4,33,421,Pump 2,Pump 2 Run Response: >
14,4,34,907,Pump 2,Stop
14,4,34,908,Pump 1,Run
14,4,35,10,Pump 2,Pump 2 Stop Response: :
14,4,35,11,Pump 1,Pump 1 Run Response: >
14,4,35,223,Pump 1,Stop
14,4,35,224,Pump 2,Run
14,4,35,327,Pump 1,Pump 1 Stop Response: :
14,4,35,327,Pump 2,Pump 2 Run Response: >
14,4,36,805,Pump 2,Stop
14,4,36,806,Pump 1,Run
14,4,36,908,Pump 2,Pump 2 Stop Response: :
14,4,36,909,Pump 1,Pump 1 Run Response: >
14,4,37,120,Pump 1,Stop
14,4,37,121,Pump 2,Run
14,4,37,222,Pump 1,Pump 1 Stop Response: :
14,4,37,222,Pump 2,Pump 2 Run Response: >
14,4,38,704,Pump 2,Stop
14,4,38,705,Pump 1,Run
14,4,38,806,Pump 2,Pump 2 Stop Response: :
14,4,38,806,Pump 1,Pump 1 Run Response: >
14,4,39,29,Pump 1,Stop
14,4,39,29,Pump 2,Run
14,4,39,120,Pump 1,Pump 1 Stop Response: :
14,4,39,121,Pump 2,Pump 2 Run Response: >
14,4,40,611,Pump 2,Stop
14,4,40,612,Pump 1,Run
14,4,40,703,Pump 2,Pump 2 Stop Response: :
14,4,40,703,Pump 1,Pump 1 Run Response: >
14,4,40,927,Pump 1,Stop
14,4,40,928,Pump 2,Run
14,4,41,19,Pump 1,Pump 1 Stop Response: :
14,4,41,19,Pump 2,Pump 2 Run Response: >
14,4,42,506,Pump 2,Stop
14,4,42,507,Pump 1,Run
14,4,42,608,Pump 2,Pump 2 Stop Response: :
14,4,42,609,Pump 1,Pump 1 Run Response: >
14,4,42,821,Pump 1,Stop
14,4,42,821,Pump 2,Run
14,4,42,923,Pump 1,Pump 1 Stop Response: :
14,4,42,923,Pump 2,Pump 2 Run Response: >
14,4,44,404,Pump 2,Stop
14,4,44,405,Pump 1,Run
14,4,44,507,Pump 2,Pump 2 Stop Response: :
14,4,44,507,Pump 1,Pump 1 Run Response: >
14,4,44,729,Pump 1,Stop
14,4,44,730,Pump 2,Run
14,4,44,821,Pump 1,Pump 1 Stop Response: :
14,4,44,821,Pump 2,Pump 2 Run Response: >
14,4,46,312,Pump 2,Stop
14,4,46,312,Pump 1,Run
14,4,46,404,Pump 2,Pump 2 Stop Response: :
14,4,46,404,Pump 1,Pump 1 Run Response: >
14,4,46,626,Pump 1,Stop
14,4,46,627,Pump 2,Run
14,4,46,722,Pump 1,Pump 1 Stop Response: :
14,4,46,723,Pump 2,Pump 2 Run Response: >
14,4,48,204,Pump 2,Stop
14,4,48,205,Pump 1,Run
14,4,48,306,Pump 2,Pump 2 Stop Response: :
14,4,48,307,Pump 1,Pump 1 Run Response: >
14,4,48,528,Pump 1,Stop
14,4,48,529,Pump 2,Run
14,4,48,620,Pump 1,Pump 1 Stop Response: :
14,4,48,621,Pump 2,Pump 2 Run Response: >
14,4,50,111,Pump 2,Stop
14,4,50,112,Pump 1,Run
14,4,50,203,Pump 2,Pump 2 Stop Response: :
14,4,50,204,Pump 1,Pump 1 Run Response: >
14,4,50,426,Pump 1,Stop
14,4,50,427,Pump 2,Run
14,4,50,528,Pump 1,Pump 1 Stop Response: :
14,4,50,528,Pump 2,Pump 2 Run Response: >
14,4,52,10,Pump 2,Stop
14,4,52,12,Pump 1,Run
14,4,52,105,Pump 2,Pump 2 Stop Response: :
14,4,52,106,Pump 1,Pump 1 Run Response: >
14,4,52,329,Pump 1,Stop
14,4,52,330,Pump 2,Run
14,4,52,422,Pump 1,Pump 1 Stop Response: :
14,4,52,422,Pump 2,Pump 2 Run Response: >
14,4,53,906,Pump 2,Stop
14,4,53,908,Pump 1,Run
14,4,54,10,Pump 2,Pump 2 Stop Response: :
14,4,54,10,Pump 1,Pump 1 Run Response: >
14,4,54,223,Pump 1,Stop
14,4,54,224,Pump 2,Run
14,4,54,326,Pump 1,Pump 1 Stop Response: :
14,4,54,326,Pump 2,Pump 2 Run Response: >
14,4,55,812,Pump 2,Stop
14,4,55,813,Pump 1,Run
