Hour,Minute,Second,millisecond,Device,DeviceNumAction
16,6,31,762,Pump 0,Response: :
16,6,31,863,Pump 0,Response: :
16,6,31,964,Pump 1,Response: :
16,6,32,65,Pump 1,Response: :
16,6,32,66,Pump 0,infuse
16,6,32,66,valve 0,open
16,6,32,169,Pump 0,Response: :
16,6,32,270,valve 2,open
16,6,36,826,Pump 0,stop
16,6,36,827,Pump 1,infuse
16,6,36,827,valve 0,close
16,6,36,827,valve 1,open
16,6,36,827,valve 3,open
16,6,36,919,Pump 0,Response: :
16,6,36,919,Pump 1,Response: :
16,6,37,20,valve 2,close
16,6,44,734,Pump 1,stop
16,6,44,735,Pump 0,infuse
16,6,44,735,valve 0,open
16,6,44,736,valve 1,close
16,6,44,736,valve 3,close
16,6,44,838,Pump 1,Response: :
16,6,44,838,Pump 0,Response: :
16,6,44,939,valve 2,open
16,6,49,486,Pump 0,stop
16,6,49,487,Pump 1,infuse
16,6,49,487,valve 0,close
16,6,49,488,valve 1,open
16,6,49,488,valve 3,open
16,6,49,590,Pump 0,Response: :
16,6,49,590,Pump 1,Response: :
16,6,49,691,valve 2,close
16,6,57,408,Pump 1,stop
16,6,57,409,Pump 0,infuse
16,6,57,410,valve 0,open
16,6,57,410,valve 1,close
16,6,57,410,valve 3,close
16,6,57,501,Pump 1,Response: :
16,6,57,502,Pump 0,Response: :
16,6,57,603,valve 2,open
16,7,2,156,Pump 0,stop
16,7,2,157,Pump 1,infuse
16,7,2,157,valve 0,close
16,7,2,158,valve 1,open
16,7,2,158,valve 3,open
16,7,2,260,Pump 0,Response: :
16,7,2,260,Pump 1,Response: :
16,7,2,362,valve 2,close
16,7,10,71,Pump 1,stop
16,7,10,72,Pump 0,infuse
16,7,10,73,valve 0,open
16,7,10,74,valve 1,close
16,7,10,74,valve 3,close
16,7,10,178,Pump 1,Response: :
16,7,10,179,Pump 0,Response: :
16,7,10,270,valve 2,open
16,7,14,826,Pump 0,stop
16,7,14,826,Pump 1,infuse
16,7,14,827,valve 0,close
16,7,14,827,valve 1,open
16,7,14,828,valve 3,open
16,7,14,922,Pump 0,Response: :
16,7,14,922,Pump 1,Response: :
16,7,15,23,valve 2,close
16,7,22,741,Pump 1,stop
16,7,22,742,Pump 0,infuse
16,7,22,742,valve 0,open
16,7,22,742,valve 1,close
16,7,22,742,valve 3,close
16,7,22,844,Pump 1,Response: :
16,7,22,844,Pump 0,Response: :
16,7,22,945,valve 2,open
16,7,27,488,Pump 0,stop
16,7,27,490,Pump 1,infuse
16,7,27,490,valve 0,close
16,7,27,492,valve 1,open
16,7,27,492,valve 3,open
16,7,27,596,Pump 0,Response: :
16,7,27,596,Pump 1,Response: :
16,7,27,687,valve 2,close
16,7,32,71,Pump 0,stop
16,7,32,71,Pump 1,stop
16,7,32,71,valve 0,open
16,7,32,72,valve 1,open
16,7,32,72,valve 2,open
16,7,32,72,valve 3,open
