Hour,Minute,Second,millisecond,Pump,Action
15,13,15,772,Pump 0,"Set Diameter 29.2, response: 04:"
15,13,15,872,Pump 0,"Set Infuse Rate 3 mL/min, response: 04:"
15,13,15,973,Pump 0,"Set Diameter 29.2, response: :"
15,13,16,73,Pump 0,"Set Infuse Rate 3 mL/min, response: :"
15,13,16,74,Pump 0,Run
15,13,16,74,Valve 0,Open
15,13,16,74,Valve 2,Open
15,13,16,176,Pump 0,Pump 0 Run Response: 04>
15,13,20,830,Pump 0,Stop
15,13,20,831,Pump 1,Run
15,13,20,831,Valve 0,Close
15,13,20,832,Valve 1,Open
15,13,20,832,Valve 2,Close
15,13,20,832,Valve 3,Open
15,13,20,925,Pump 1,Pump 1 Run Response: >
15,13,28,748,Pump 1,Stop
15,13,28,749,Pump 0,Run
15,13,28,749,Valve 0,Open
15,13,28,749,Valve 1,Close
15,13,28,749,Valve 2,Open
15,13,28,750,Valve 3,Close
15,13,28,851,Pump 0,Pump 0 Run Response: 04>
15,13,33,494,Pump 0,Stop
15,13,33,495,Pump 1,Run
15,13,33,495,Valve 0,Close
15,13,33,495,Valve 1,Open
15,13,33,495,Valve 2,Close
15,13,33,495,Valve 3,Open
15,13,33,596,Pump 1,Pump 1 Run Response: >
15,13,41,412,Pump 1,Stop
15,13,41,413,Pump 0,Run
15,13,41,413,Valve 0,Open
15,13,41,414,Valve 1,Close
15,13,41,414,Valve 2,Open
15,13,41,414,Valve 3,Close
15,13,41,516,Pump 0,Pump 0 Run Response: 04>
15,13,46,162,Pump 0,Stop
15,13,46,163,Pump 1,Run
15,13,46,163,Valve 0,Close
15,13,46,164,Valve 1,Open
15,13,46,164,Valve 2,Close
15,13,46,164,Valve 3,Open
15,13,46,268,Pump 1,Pump 1 Run Response: >
15,13,54,83,Pump 1,Stop
15,13,54,83,Pump 0,Run
15,13,54,84,Valve 0,Open
15,13,54,84,Valve 1,Close
15,13,54,84,Valve 2,Open
15,13,54,85,Valve 3,Close
15,13,54,187,Pump 0,Pump 0 Run Response: 04>
15,13,58,829,Pump 0,Stop
15,13,58,830,Pump 1,Run
15,13,58,830,Valve 0,Close
15,13,58,830,Valve 1,Open
15,13,58,831,Valve 2,Close
15,13,58,831,Valve 3,Open
15,13,58,932,Pump 1,Pump 1 Run Response: >
15,14,6,751,Pump 1,Stop
15,14,6,752,Pump 0,Run
15,14,6,753,Valve 0,Open
15,14,6,753,Valve 1,Close
15,14,6,753,Valve 2,Open
15,14,6,753,Valve 3,Close
15,14,6,855,Pump 0,Pump 0 Run Response: 04>
15,14,11,499,Pump 0,Stop
15,14,11,500,Pump 1,Run
15,14,11,500,Valve 0,Close
15,14,11,501,Valve 1,Open
15,14,11,501,Valve 2,Close
15,14,11,501,Valve 3,Open
15,14,11,603,Pump 1,Pump 1 Run Response: >
15,14,16,78,Pump 0,Stop
15,14,16,78,Pump 1,Stop
