Hour,Minute,Second,millisecond,Device,DeviceNumAction
11,24,20,80,Pump 0,Response: :
11,24,20,181,Pump 0,Response: :
11,24,20,281,Pump 1,Response: :
11,24,20,382,Pump 1,Response: :
11,24,20,382,pump 0,infuse
11,24,20,383,valve 0,open
11,24,20,383,valve 2,open
11,24,20,392,Pump 0,Response: >
11,24,20,662,valve 1,open
11,24,20,682,pump 0,stop
11,24,20,683,pump 1,infuse
11,24,20,683,valve 3,open
11,24,20,692,Pump 0,Response: :
11,24,20,693,Pump 1,Response: 
11,24,20,702,valve 0,close
11,24,20,703,valve 2,close
11,24,20,962,valve 0,open
11,24,20,963,valve 0,close
11,24,20,963,valve 0,open
11,24,20,963,valve 0,close
11,24,20,963,valve 0,open
11,24,20,963,valve 0,close
11,24,20,963,valve 0,open
11,24,20,963,valve 0,close
11,24,20,963,valve 0,open
11,24,20,963,valve 0,close
11,24,20,963,valve 0,open
11,24,20,963,valve 0,close
11,24,20,964,valve 0,open
11,24,20,964,valve 0,close
11,24,20,964,valve 0,open
11,24,20,964,valve 0,close
11,24,20,964,valve 0,open
11,24,20,964,valve 0,close
11,24,20,964,valve 0,open
11,24,20,964,valve 0,close
11,24,20,964,valve 0,open
11,24,20,964,valve 0,close
11,24,20,965,valve 0,open
11,24,20,965,valve 0,close
11,24,20,965,valve 0,open
11,24,20,965,valve 0,close
11,24,20,965,valve 0,open
11,24,20,965,valve 0,close
11,24,20,965,valve 0,open
11,24,20,965,valve 0,close
11,24,20,965,valve 0,open
11,24,20,965,valve 0,close
11,24,20,965,valve 0,open
11,24,20,966,valve 0,close
11,24,20,966,valve 0,open
11,24,20,966,valve 0,close
11,24,20,966,valve 0,open
11,24,20,966,valve 0,close
11,24,20,966,valve 0,open
11,24,20,966,valve 0,close
11,24,20,966,valve 0,open
11,24,20,966,valve 0,close
11,24,20,966,valve 0,open
11,24,20,966,valve 0,close
11,24,20,967,valve 0,open
11,24,20,967,valve 0,close
11,24,20,967,valve 0,open
11,24,20,967,valve 0,close
11,24,20,967,valve 0,open
